id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;Nordpool Data;requests;1629391604.1360571;-0.6312997341156006;https://www.nordpoolgroup.com/api/downloads/4675;https://www.nordpoolgroup.com/api/downloads/4675;540901;200;True;
1;Nordpool Data;requests;1629391669.412102;-0.04671001434326172;https://www.nordpoolgroup.com/api/downloads/4675;https://www.nordpoolgroup.com/api/downloads/4675;540901;200;True;
2;Nordpool Data;requests;1629391689.302763;-0.04767012596130371;https://www.nordpoolgroup.com/api/downloads/4675;https://www.nordpoolgroup.com/api/downloads/4675;540901;200;True;
3;Nordpool Data;requests;1629391736.166368;-0.13054394721984863;https://www.nordpoolgroup.com/api/downloads/4675;https://www.nordpoolgroup.com/api/downloads/4675;540901;200;True;
4;Nordpool Data;requests;1629391760.420374;-0.13518023490905762;https://www.nordpoolgroup.com/api/downloads/4675;https://www.nordpoolgroup.com/api/downloads/4675;540901;200;True;
5;DMI Data;requests;1629391801.3409548;-7.391622304916382;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06183&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06183&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;12358778;200;True;
6;DMI Data;requests;1629391809.6883478;-6.514132976531982;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06184&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06184&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;9873608;200;True;
7;DMI Data;requests;1629391816.995015;-0.10309410095214844;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06184&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2016-04-03T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06184&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2016-04-03T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;434;200;True;
8;DMI Data;requests;1629391817.704191;-0.1415870189666748;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06186&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06186&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;434;200;True;
9;DMI Data;requests;1629391818.376279;-0.10843396186828613;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06187&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06187&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;434;200;True;
